Event,Survey,Count,Total,Percent,Survey Rank
Affordable Care Act,Pew,101,2025,5,18
Berlin Wall/End of Cold War,Pew,263,2025,13,8
Bin Laden,Pew,122,2025,6,16
Black Lives Matter Movement,Pew,,2025,,
Boston Marathon Bombing,Pew,101,2025,5,18
Bush Presidency,Pew,,2025,,
Challenger Disaster,Pew,122,2025,6,16
Civil Rights Movement,Pew,162,2025,8,12
Climate Change,Pew,,2025,,
Columbine Shooting,Pew,142,2025,7,14
Death of Michael Jackson,Pew,,2025,,
Death of Robin Williams,Pew,,2025,,
Gay Marriage,Pew,223,2025,11,9
Gulf War,Pew,203,2025,10,10
Housing Crash/Recession,Pew,,2025,,
Hurricane Katrina,Pew,162,2025,8,12
Iraq/Afghanistan Wars,Pew,344,2025,17,6
Islamic State/ISIS,Pew,,2025,,
JFK Assassination,Pew,425,2025,21,4
Legalization of Marijuana,Pew,,2025,,
MLK Assassination,Pew,142,2025,7,14
Moon Landing,Pew,344,2025,17,6
Obama Election/Presidency,Pew,810,2025,40,2
Oklahoma City Bombing,Pew,101,2025,5,18
Orlando/Pulse Shooting,Pew,203,2025,10,10
Paris Shooting,Pew,,2025,,
Rise of Russia/Putin,Pew,,2025,,
Sandy Hook Shooting,Pew,101,2025,5,18
September 11th,Pew,1539,2025,76,1
Shifting Republican Party,Pew,,2025,,
Technology Revolution,Pew,446,2025,22,3
Trump/Clinton Election,Pew,,2025,,
USSR,Pew,101,2025,5,18
Vietnam War,Pew,405,2025,20,5
Wikileaks,Pew,,2025,,
Women's March on Washington,Pew,,2025,,
WWII,Pew,101,2025,5,18
Other,Pew,,2025,,
Affordable Care Act,Spring 2017,8,32,25,12
Berlin Wall/End of Cold War,Spring 2017,2,32,6,22
Bin Laden,Spring 2017,11,32,34,9
Black Lives Matter Movement,Spring 2017,3,32,9,17
Boston Marathon Bombing,Spring 2017,9,32,28,11
Bush Presidency,Spring 2017,2,32,6,22
Challenger Disaster,Spring 2017,2,32,6,22
Civil Rights Movement,Spring 2017,1,32,3,32
Climate Change,Spring 2017,2,32,6,22
Columbine Shooting,Spring 2017,2,32,6,22
Death of Michael Jackson,Spring 2017,2,32,6,22
Death of Robin Williams,Spring 2017,2,32,6,22
Gay Marriage,Spring 2017,23,32,72,3
Gulf War,Spring 2017,0,32,0,35
Housing Crash/Recession,Spring 2017,6,32,19,13
Hurricane Katrina,Spring 2017,12,32,38,8
Iraq/Afghanistan Wars,Spring 2017,14,32,44,6
Islamic State/ISIS,Spring 2017,3,32,9,17
JFK Assassination,Spring 2017,0,32,0,35
Legalization of Marijuana,Spring 2017,5,32,16,14
MLK Assassination,Spring 2017,1,32,3,32
Moon Landing,Spring 2017,2,32,6,22
Obama Election/Presidency,Spring 2017,26,32,81,1
Oklahoma City Bombing,Spring 2017,0,32,0,35
Orlando/Pulse Shooting,Spring 2017,5,32,16,14
Paris Shooting,Spring 2017,3,32,9,17
Rise of Russia/Putin,Spring 2017,2,32,6,22
Sandy Hook Shooting,Spring 2017,11,32,34,9
September 11th,Spring 2017,23,32,72,3
Shifting Republican Party,Spring 2017,2,32,6,22
Technology Revolution,Spring 2017,21,32,66,5
Trump/Clinton Election,Spring 2017,24,32,75,2
USSR,Spring 2017,0,32,0,35
Vietnam War,Spring 2017,3,32,9,17
Wikileaks,Spring 2017,3,32,9,17
Women's March on Washington,Spring 2017,4,32,13,16
WWII,Spring 2017,1,32,3,32
Other,Spring 2017,14,32,44,6
Affordable Care Act,Spring 2019,4,29,14,17
Berlin Wall/End of Cold War,Spring 2019,4,29,14,17
Bin Laden,Spring 2019,12,29,41,9
Black Lives Matter Movement,Spring 2019,0,29,0,28
Boston Marathon Bombing,Spring 2019,9,29,31,10
Bush Presidency,Spring 2019,0,29,0,28
Challenger Disaster,Spring 2019,2,29,7,22
Civil Rights Movement,Spring 2019,1,29,3,23
Climate Change,Spring 2019,1,29,3,23
Columbine Shooting,Spring 2019,5,29,17,14
Death of Michael Jackson,Spring 2019,0,29,0,28
Death of Robin Williams,Spring 2019,0,29,0,28
Gay Marriage,Spring 2019,14,29,48,6
Gulf War,Spring 2019,1,29,3,23
Housing Crash/Recession,Spring 2019,8,29,28,11
Hurricane Katrina,Spring 2019,14,29,48,6
Iraq/Afghanistan Wars,Spring 2019,14,29,48,6
Islamic State/ISIS,Spring 2019,3,29,10,20
JFK Assassination,Spring 2019,3,29,10,20
Legalization of Marijuana,Spring 2019,0,29,0,28
MLK Assassination,Spring 2019,0,29,0,28
Moon Landing,Spring 2019,5,29,17,14
Obama Election/Presidency,Spring 2019,19,29,66,2
Oklahoma City Bombing,Spring 2019,1,29,3,23
Orlando/Pulse Shooting,Spring 2019,6,29,21,13
Paris Shooting,Spring 2019,0,29,0,28
Rise of Russia/Putin,Spring 2019,0,29,0,28
Sandy Hook Shooting,Spring 2019,7,29,24,12
September 11th,Spring 2019,22,29,76,1
Shifting Republican Party,Spring 2019,0,29,0,28
Technology Revolution,Spring 2019,15,29,52,4
Trump/Clinton Election,Spring 2019,16,29,55,3
USSR,Spring 2019,1,29,3,23
Vietnam War,Spring 2019,4,29,14,17
Wikileaks,Spring 2019,0,29,0,28
Women's March on Washington,Spring 2019,0,29,0,28
WWII,Spring 2019,5,29,17,14
Other,Spring 2019,15,29,52,4
